timestamp,temperature_C,humidity_%
2025-08-01 00:00:00,40.3,52.45
2025-08-01 00:02:00,42.05,52.98
2025-08-01 00:04:00,40.16,46.31
2025-08-01 00:06:00,42.31,50.06
2025-08-01 00:08:00,38.63,52.89
2025-08-01 00:10:00,41.7,48.77
2025-08-01 00:12:00,41.0,52.0
2025-08-01 00:14:00,38.88,56.99
2025-08-01 00:16:00,39.26,53.99
2025-08-01 00:18:00,38.55,51.85
2025-08-01 00:20:00,41.48,56.08
2025-08-01 00:22:00,39.48,57.49
2025-08-01 00:24:00,39.87,45.62
2025-08-01 00:26:00,39.09,50.97
2025-08-01 00:28:00,39.87,55.19
2025-08-01 00:30:00,40.06,52.74
2025-08-01 00:32:00,40.22,53.34
2025-08-01 00:34:00,36.67,53.42
2025-08-01 00:36:00,39.88,54.07
2025-08-01 00:38:00,40.78,49.85
2025-08-01 00:40:00,38.53,51.0
2025-08-01 00:42:00,38.25,53.94
2025-08-01 00:44:00,40.81,48.99
2025-08-01 00:46:00,40.78,55.21
2025-08-01 00:48:00,38.58,54.03
2025-08-01 00:50:00,42.62,53.02
2025-08-01 00:52:00,41.21,52.5
2025-08-01 00:54:00,39.96,53.57
2025-08-01 00:56:00,41.38,50.37
2025-08-01 00:58:00,40.13,55.52
2025-08-01 01:00:00,39.34,46.83
2025-08-01 01:02:00,39.22,51.95
2025-08-01 01:04:00,42.16,53.52
2025-08-01 01:06:00,41.33,61.19
2025-08-01 01:08:00,38.8,50.4
2025-08-01 01:10:00,39.59,53.14
2025-08-01 01:12:00,40.26,48.0
2025-08-01 01:14:00,39.51,53.79
2025-08-01 01:16:00,38.53,49.8
2025-08-01 01:18:00,42.87,51.08
2025-08-01 01:20:00,40.51,52.2
2025-08-01 01:22:00,42.62,45.54
2025-08-01 01:24:00,39.14,52.62
2025-08-01 01:26:00,43.01,46.25
2025-08-01 01:28:00,40.91,47.83
2025-08-01 01:30:00,40.49,47.35
2025-08-01 01:32:00,41.13,52.48
2025-08-01 01:34:00,39.85,54.46
2025-08-01 01:36:00,41.01,49.8
2025-08-01 01:38:00,40.49,52.56
2025-08-01 01:40:00,41.05,52.54
2025-08-01 01:42:00,38.52,50.4
2025-08-01 01:44:00,39.78,52.29
2025-08-01 01:46:00,38.7,50.23
2025-08-01 01:48:00,40.39,49.66
2025-08-01 01:50:00,39.52,52.57
2025-08-01 01:52:00,40.64,50.61
2025-08-01 01:54:00,43.85,47.21
2025-08-01 01:56:00,43.54,45.43
2025-08-01 01:58:00,41.09,56.36
2025-08-01 02:00:00,38.57,55.27
2025-08-01 02:02:00,38.01,53.06
2025-08-01 02:04:00,40.63,47.56
2025-08-01 02:06:00,40.46,49.96
2025-08-01 02:08:00,43.37,47.16
2025-08-01 02:10:00,41.49,51.97
2025-08-01 02:12:00,38.79,43.18
2025-08-01 02:14:00,38.25,48.76
2025-08-01 02:16:00,41.39,44.42
2025-08-01 02:18:00,39.58,45.91
2025-08-01 02:20:00,43.99,47.64
2025-08-01 02:22:00,40.37,47.56
2025-08-01 02:24:00,38.61,54.19
2025-08-01 02:26:00,45.06,48.97
2025-08-01 02:28:00,39.99,45.4
2025-08-01 02:30:00,40.57,45.25
2025-08-01 02:32:00,41.66,52.5
2025-08-01 02:34:00,39.27,47.24
2025-08-01 02:36:00,41.39,47.33
2025-08-01 02:38:00,41.69,44.23
2025-08-01 02:40:00,39.31,43.49
2025-08-01 02:42:00,40.13,45.56
2025-08-01 02:44:00,42.15,45.5
2025-08-01 02:46:00,41.97,46.49
2025-08-01 02:48:00,40.5,46.96
2025-08-01 02:50:00,41.15,47.24
2025-08-01 02:52:00,37.34,47.47
2025-08-01 02:54:00,42.04,40.58
2025-08-01 02:56:00,40.83,46.29
2025-08-01 02:58:00,41.76,45.62
2025-08-01 03:00:00,41.28,43.66
2025-08-01 03:02:00,42.17,51.23
2025-08-01 03:04:00,41.96,46.2
2025-08-01 03:06:00,41.7,48.42
2025-08-01 03:08:00,44.34,44.06
2025-08-01 03:10:00,41.85,48.36
2025-08-01 03:12:00,40.18,41.81
2025-08-01 03:14:00,41.49,41.52
2025-08-01 03:16:00,43.89,47.93
2025-08-01 03:18:00,45.03,43.74
2025-08-01 03:20:00,41.44,44.39
2025-08-01 03:22:00,43.21,38.5
2025-08-01 03:24:00,39.33,51.64
2025-08-01 03:26:00,42.7,41.66
2025-08-01 03:28:00,41.27,44.58
2025-08-01 03:30:00,42.04,44.9
2025-08-01 03:32:00,42.94,44.4
2025-08-01 03:34:00,39.81,51.62
2025-08-01 03:36:00,41.18,49.53
2025-08-01 03:38:00,39.11,48.9
